Common Name,Scientific Name,Order,Eye Orientation,Canine Development,Molar Type,Jaw Length Ratio,Skull Robustness,Body Size Class,Diet Category,Prey/Plant Type,Habitat (Terrestrial),Social Structure,Activity Pattern,Carnivory Score (0-10),Notes / Distinguishing Features
Sri Lankan Leopard,Panthera pardus kotiya,Carnivora,Forward,Large,Carnassial,Short,Robust,Large,Carnivore,Medium mammals,Forest,Solitary,Nocturnal,10,Endemic to Sri Lanka; smallest leopard subspecies
Sri Lankan Elephant,Elephas maximus maximus,Proboscidea,Side,Absent,Lophodont,Long,Robust,VeryLarge,Herbivore,Grasses+bark+leaves,Forest,Herd,Diurnal,0,Endemic; smaller ears; two domes on head
Sloth Bear,Melursus ursinus,Carnivora,Forward,Small,Mixed,Medium,Moderate,Medium,Insectivore,Ants/termites/fruit,Forest,Solitary,Nocturnal,3,Shaggy coat; long claws; specialized termite-eating skull
Sambar Deer,Rusa unicolor,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Leaves+grass+fruit,Forest,Group,Crepuscular,0,Largest deer in Sri Lanka/Asia; shaggy coat
Axis Deer (Chital),Axis axis,Artiodactyla,Side,Absent,Selenodont,Long,Gracile,Medium,Herbivore,Grasses+leaves,Forest,Herd,Diurnal,0,Spotted coat; highly social; common in Sri Lanka/India
Gaur (Indian Bison),Bos gaurus,Artiodactyla,Side,Absent,Selenodont,Long,Robust,VeryLarge,Herbivore,Grasses+leaves,Forest,Herd,Diurnal,0,Largest wild bovine; massive dorsal ridge
Nilgai,Boselaphus tragocamelus,Artiodactyla,Side,Absent,Selenodont,Long,Moderate,Large,Herbivore,Grasses+shrubs,Grassland,Group,Diurnal,0,Largest Asian antelope; blue-gray males
Blackbuck,Antilope cervicapra,Artiodactyla,Side,Absent,Selenodont,Long,Gracile,Medium,Herbivore,Grasses,Grassland,Herd,Diurnal,0,Spiral horns in males; extremely fast
Toque Macaque,Macaca sinica,Primates,Forward,Small,Bunodont,Medium,Moderate,Medium,Omnivore,Fruit+insects+seeds,Forest,Group,Diurnal,3,Endemic to Sri Lanka; distinctive crown of hair
Purple-faced Langur,Trachypithecus vetulus,Primates,Forward,Small,Bunodont,Medium,Moderate,Medium,Herbivore,Leaves+fruit+flowers,Forest,Group,Diurnal,1,Endemic to Sri Lanka; long tail; leaf-eater
Hanuman Langur,Semnopithecus entellus,Primates,Forward,Small,Bunodont,Medium,Moderate,Medium,Herbivore,Leaves+fruit,Forest,Group,Diurnal,1,Sacred in South Asia; black face and hands
Lion-tailed Macaque,Macaca silenus,Primates,Forward,Small,Bunodont,Medium,Moderate,Medium,Omnivore,Fruit+insects,Forest,Group,Diurnal,3,Endemic to Western Ghats; silver mane
Indian Pangolin,Manis crassicaudata,Pholidota,Side,Absent,Absent,Long,Gracile,Medium,Insectivore,Ants+termites,Forest,Solitary,Nocturnal,2,Endemic to South Asia; large scales
Indian Fox,Vulpes bengalensis,Carnivora,Forward,Large,Carnassial,Medium,Gracile,Small,Omnivore,Insects+small prey,Grassland,Pair,Crepuscular,6,Endemic to Indian subcontinent; large ears
Golden Jackal,Canis aureus,Carnivora,Forward,Large,Carnassial,Medium,Moderate,Medium,Omnivore,Small prey+fruit,Generalist,Pair,Crepuscular,6,Highly adaptable; common in Sri Lanka/Asia
Dhole,Cuon alpinus,Carnivora,Forward,Large,Carnassial,Medium,Moderate,Medium,Carnivore,Deer+wild boar,Forest,Group,Diurnal,9,Asiatic wild dog; whistles to communicate
Fishing Cat,Prionailurus viverrinus,Carnivora,Forward,Large,Carnassial,Short,Moderate,Medium,Carnivore,Fish+amphibians,Forest,Solitary,Nocturnal,9,Webbed paws; flat head; semi-aquatic
Jungle Cat,Felis chaus,Carnivora,Forward,Large,Carnassial,Short,Moderate,Medium,Carnivore,Small mammals+birds,Generalist,Solitary,Crepuscular,9,Tufted ears; long legs; reed-dweller
Rusty-spotted Cat,Prionailurus rubiginosus,Carnivora,Forward,Large,Carnassial,Short,Gracile,Small,Carnivore,Small mammals+birds,Forest,Solitary,Nocturnal,9,Smallest wild cat in Asia; endemic to Sri Lanka/India
